group	fill	colour	x	y	clickSelects
773	#FFFFFF	#D3D3D3	-44.95	10.5	12
773	#FFFFFF	#D3D3D3	-44.5	10.95	12
773	#FFFFFF	#D3D3D3	-44.05	10.5	12
773	#FFFFFF	#D3D3D3	-44.5	10.05	12
773	#FFFFFF	#D3D3D3	-44.95	10.5	12
763	#FFFFFF	#D3D3D3	-44.45	11	12
763	#FFFFFF	#D3D3D3	-44	11.45	12
763	#FFFFFF	#D3D3D3	-43.55	11	12
763	#FFFFFF	#D3D3D3	-44	10.55	12
763	#FFFFFF	#D3D3D3	-44.45	11	12
752	#FFFFFF	#D3D3D3	-43.95	11.5	12
752	#FFFFFF	#D3D3D3	-43.5	11.95	12
752	#FFFFFF	#D3D3D3	-43.05	11.5	12
752	#FFFFFF	#D3D3D3	-43.5	11.05	12
752	#FFFFFF	#D3D3D3	-43.95	11.5	12
741	#FFFFFF	#D3D3D3	-43.45	12	12
741	#FFFFFF	#D3D3D3	-43	12.45	12
741	#FFFFFF	#D3D3D3	-42.55	12	12
741	#FFFFFF	#D3D3D3	-43	11.55	12
741	#FFFFFF	#D3D3D3	-43.45	12	12
728	#FFFFFF	#D3D3D3	-42.95	12.5	12
728	#FFFFFF	#D3D3D3	-42.5	12.95	12
728	#FFFFFF	#D3D3D3	-42.05	12.5	12
728	#FFFFFF	#D3D3D3	-42.5	12.05	12
728	#FFFFFF	#D3D3D3	-42.95	12.5	12
716	#FFFFFF	#D3D3D3	-42.45	13	12
716	#FFFFFF	#D3D3D3	-42	13.45	12
716	#FFFFFF	#D3D3D3	-41.55	13	12
716	#FFFFFF	#D3D3D3	-42	12.55	12
716	#FFFFFF	#D3D3D3	-42.45	13	12
703	#FFFFFF	#D3D3D3	-41.95	13.5	12
703	#FFFFFF	#D3D3D3	-41.5	13.95	12
703	#FFFFFF	#D3D3D3	-41.05	13.5	12
703	#FFFFFF	#D3D3D3	-41.5	13.05	12
703	#FFFFFF	#D3D3D3	-41.95	13.5	12
690	#FFFFFF	#D3D3D3	-41.45	14	12
690	#FFFFFF	#D3D3D3	-41	14.45	12
690	#FFFFFF	#D3D3D3	-40.55	14	12
690	#FFFFFF	#D3D3D3	-41	13.55	12
690	#FFFFFF	#D3D3D3	-41.45	14	12
676	#FFFFFF	#D3D3D3	-40.95	14.5	12
676	#FFFFFF	#D3D3D3	-40.5	14.95	12
676	#FFFFFF	#D3D3D3	-40.05	14.5	12
676	#FFFFFF	#D3D3D3	-40.5	14.05	12
676	#FFFFFF	#D3D3D3	-40.95	14.5	12
662	#FFFFFF	#D3D3D3	-40.45	15	12
662	#FFFFFF	#D3D3D3	-40	15.45	12
662	#FFFFFF	#D3D3D3	-39.55	15	12
662	#FFFFFF	#D3D3D3	-40	14.55	12
